time_stamp,song,artist
2023-01-04 11:10:27,Even The Nights Are Better,Air Supply
2023-01-04 11:12:50,So In To You,Atlanta Rhythm Section
2023-01-04 11:16:28,Dreadlock Holiday,10cc
2023-01-04 11:21:49,Rhiannon,Fleetwood Mac
2023-01-04 11:24:47,Georgy Porgy,Toto/Cheryl Lynn
2023-01-04 11:29:33,Sail On,Commodores
2023-01-04 11:34:19,Deacon Blues,Steely Dan
2023-01-04 11:41:27,Lowdown,Boz Scaggs
2023-01-04 11:46:11,A Horse With No Name,America
2023-01-04 11:50:21,All Right,Christopher Cross
2023-01-04 11:54:30,Love Will Find A Way,Pablo Cruise
2023-01-04 11:58:05,Couldn't Get It Right,Climax Blues Band
2023-01-04 12:01:04,Route 101,Herb Alpert
2023-01-04 12:04:04,You're Out To Lose,Pablo Cruise
2023-01-04 12:07:02,Rosanna,Toto
2023-01-04 12:11:10,"Who's Right, Who's Wrong?",Pages
2023-01-04 12:15:20,I Can't Tell You Why,Eagles
2023-01-04 12:21:17,Lido Shuffle,Boz Scaggs
2023-01-04 12:24:16,Still The One,Orleans
2023-01-04 12:28:27,Holdin' On To Yesterday,Ambrosia
2023-01-04 12:33:12,You Make My Dreams Come True,Hall and Oates
2023-01-04 12:34:58,Into The Night,Benny Mardones
2023-01-04 12:39:09,I Keep Forgettin' (82),Michael McDonald
2023-01-04 12:43:20,Caribbean Queen,Billy Ocean
2023-01-04 12:48:04,Just Remember I Love You,Firefall
2023-01-04 12:49:51,You Make Loving Fun,Fleetwood Mac
2023-01-04 12:54:00,So In To You,Atlanta Rhythm Section
2023-01-04 12:58:10,Wildfire,Michael Martin Murphey
2023-01-04 13:02:21,I Believe In Love,Kenny Loggins
2023-01-04 13:05:23,Rock The Boat,Hues Corporation
2023-01-04 13:08:23,Hey Nineteen,Steely Dan
2023-01-04 13:16:59,Reminiscing,Little River Band
2023-01-04 13:19:57,Ride Captain Ride,Blues Image
2023-01-04 13:24:09,Just The Two Of Us,Grover Washington Jr.
2023-01-04 13:27:07,Can We Still Be Friends?,Robert Palmer
2023-01-04 13:31:16,All Right,Christopher Cross
