time_stamp,song,artist
2022-12-24T11:11:52Z,Drift Away,Dobie Gray
2022-12-24T11:13:39Z,So In To You,Atlanta Rhythm Section
2022-12-24T11:17:50Z,O Come All Ye Faithful,Chicago
2022-12-24T11:22:36Z,99,Toto
2022-12-24T11:27:43Z,All Right,Christopher Cross
2022-12-24T11:31:53Z,Key Largo,Bertie Higgins
2022-12-24T11:34:51Z,I Can't Tell You Why,Eagles
2022-12-24T11:39:34Z,Breezin',George Benson
2022-12-25T01:36:28Z,Why I Came To California,Leon Ware
2022-12-25T01:38:22Z,Diamond Girl,Seals/Crofts
2022-12-25T01:41:59Z,Heart To Heart,Kenny Loggins
2022-12-25T01:48:02Z,She's Gone,Daryl Hall/John Oates
2022-12-25T01:51:35Z,Spooky,Atlanta Rhythm Section
2022-12-25T01:56:22Z,Jojo,Boz Scaggs
2022-12-25T02:02:18Z,You Make Loving Fun,Fleetwood Mac
2022-12-25T02:04:41Z,Jingle Bells,Peter Cetera
2022-12-25T02:09:28Z,You Make Me Feel Like Dancing,Leo Sayer
2022-12-25T02:11:51Z,Sister Golden Hair,America
2022-12-25T02:15:26Z,I Really Don't Know Anymore,Christopher Cross
2022-12-25T02:19:01Z,Cool Change,Little River Band
2022-12-25T02:22:35Z,We're In This Love Together,Al Jarreau
2022-12-25T02:26:11Z,Deacon Blues,Steely Dan
2022-12-25T02:38:10Z,All Out Of Love,Air Supply
2022-12-25T02:41:46Z,Every Time Christmas Comes Around,Michael McDonald
2022-12-25T02:45:22Z,You Are The Woman,Firefall
2022-12-25T02:47:44Z,Take It Uptown,Bill Champlin
2022-12-25T02:52:30Z,Afternoon Delight,Starland Vocal Band
2022-12-25T02:56:05Z,You're The Only Woman,Ambrosia
2022-12-25T02:59:40Z,Love Has Come Of Age,Kenny Loggins
2022-12-25T03:03:17Z,Give Me the Night,George Benson
2022-12-25T03:06:53Z,No Child Should Ever Cry On Christmas,Daryl Hall/John Oates
2022-12-25T03:10:30Z,Thunder Island,Jay Ferguson
2022-12-25T03:15:17Z,Make It With You,Bread
2022-12-25T03:18:49Z,It's Too Late,Carole King
2022-12-25T03:22:26Z,Dream Weaver,Gary Wright
2022-12-25T03:27:12Z,Coconut,Harry Nilsson
2022-12-25T03:30:48Z,I.G.Y.,Donald Fagen
2022-12-25T03:36:49Z,Ventura Highway,America
2022-12-25T03:39:12Z,Arthur's Theme,Christopher Cross
2022-12-25T03:43:59Z,Him,Rupert Holmes
2022-12-25T03:46:22Z,Just The Two Of Us,Grover Washington Jr.
2022-12-25T03:51:09Z,House Full Of Love,Michael McDonald
2022-12-25T03:55:56Z,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-25T03:58:19Z,How 'Bout Us,Champaign
2022-12-25T04:01:54Z,Feels So Good,Chuck Mangione
2022-12-25T04:05:30Z,Reminiscing,Little River Band
2022-12-25T04:07:55Z,Georgy Porgy,Toto/Cheryl Lynn
2022-12-25T04:13:53Z,What You Won't Do For Love,Bobby Caldwell
2022-12-25T04:18:41Z,Santa Claus Is Coming To Town,Peter Cetera
2022-12-25T04:21:05Z,You're No Good,Linda Ronstadt
2022-12-25T04:25:51Z,Still The One,Orleans
2022-12-25T04:29:28Z,Dreadlock Holiday,10cc
2022-12-25T04:37:50Z,Best Of My Love,Eagles
2022-12-25T04:42:36Z,Ride Captain Ride,Blues Image
2022-12-25T04:46:11Z,I Keep Forgettin' (82),Michael McDonald
2022-12-25T04:49:46Z,Keep On Loving You,REO Speedwagon
2022-12-25T04:53:22Z,Couldn't Get It Right,Climax Blues Band
2022-12-25T04:55:45Z,Sail On,Commodores
2022-12-25T04:59:20Z,Everyday Will Be Like A Holiday,Daryl Hall/John Oates
2022-12-25T05:04:07Z,Hello It's Me,Todd Rundgren
2022-12-25T05:07:43Z,I Believe In Love,Kenny Loggins
2022-12-25T05:12:30Z,Green Earrings,Steely Dan
2022-12-25T05:14:53Z,Escape (The Pina Colada Song),Rupert Holmes
2022-12-25T05:19:39Z,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-25T05:22:03Z,Biggest Part Of Me,Ambrosia
2022-12-25T05:26:49Z,Love Will Find A Way,Pablo Cruise
2022-12-25T05:29:13Z,Steal Away,Robbie Dupree
2022-12-25T05:32:49Z,Route 101,Herb Alpert
2022-12-25T05:36:23Z,Oh Come All Ye Faithful,Al Jarreau
2022-12-25T05:39:58Z,The Things We Do For Love,10cc
2022-12-25T05:44:46Z,Africa,Toto
2022-12-25T05:48:22Z,Cool Night,Paul Davis
2022-12-25T05:50:45Z,Baby I'm A Want You,Bread
2022-12-25T05:53:08Z,Magnet And Steel,Walter Egan
2022-12-25T06:01:30Z,Moonlight Feels Right,Starbuck
2022-12-25T06:05:07Z,How Long,Ace
2022-12-25T06:07:31Z,On Christmas Morning,Michael McDonald
2022-12-25T06:12:19Z,This Is It,Kenny Loggins
2022-12-25T06:21:55Z,Do It Again,Steely Dan
2022-12-25T06:27:54Z,Heart Of The Night,Poco
2022-12-25T06:33:52Z,Georgia,Boz Scaggs
2022-12-25T06:37:29Z,Christmas Must Be Tonight,Daryl Hall/John Oates
2022-12-25T06:41:40Z,I Love You,Climax Blues Band
2022-12-25T06:45:16Z,Summer Breeze,Seals/Crofts
2022-12-25T06:48:52Z,I'm Not In Love,10cc
2022-12-25T06:53:39Z,I Just Wanna Stop,Gino Vanelli
2022-12-25T06:56:02Z,Oriental Gate,Sanford Townsend Band
2022-12-25T06:59:38Z,"Who's Right, Who's Wrong?",Pages
2022-12-25T07:04:26Z,You Belong To Me,Doobie Brothers
2022-12-25T07:06:50Z,Baker Street,Gerry Rafferty
2022-12-25T07:12:50Z,Into The Night,Benny Mardones
2022-12-25T07:17:36Z,Amie,Pure Prairie League
2022-12-25T07:22:22Z,The Best Christmas,Christopher Cross
2022-12-25T07:25:57Z,How Much I Feel,Ambrosia
2022-12-25T07:30:45Z,When You're In Love With..,Dr. Hook
2022-12-25T07:34:22Z,Whatcha Gonna Do,Pablo Cruise
2022-12-25T07:36:45Z,Dirty Work,Steely Dan
2022-12-25T07:39:09Z,Wildfire,Michael Martin Murphey
